"STATION_ID","BEGIN","END","STATION_HEIGHT","LAT","LON","STATION_NAME","BUNDESLAND"
"04371",1935-01-01,2020-06-09,135,52.1042,8.7521,"Salzuflen, Bad","Nordrhein-Westfalen"
"04411",1979-12-01,2020-06-09,155,49.9195,8.9671,"Schaafheim-Schlierbach","Hessen"
"04464",1989-08-01,2020-06-09,501,50.5679,11.8041,"Schleiz","Th<U+00FC>ringen"
"04466",1947-01-01,2020-06-09,43,54.5275,9.5487,"Schleswig","Schleswig-Holstein"
"04501",1947-11-01,2020-06-09,937,50.6546,10.7693,"Schm<U+00FC>cke","Th<U+00FC>ringen"
"04559",1996-05-01,2020-06-09,398,49.1644,12.6175,"Schorndorf-Kn<U+00F6>bling","Bayern"
"04592",1955-10-21,2020-06-09,356,49.3278,12.0871,"Schwandorf","Bayern"
"04605",1949-07-05,2020-06-09,277,50.6441,11.1936,"Schwarzburg","Th<U+00FC>ringen"
"04625",1890-01-01,2020-06-09,59,53.6425,11.3872,"Schwerin","Mecklenburg-Vorpommern"
"04703",1951-01-01,2020-06-09,580,48.0719,9.1942,"Sigmaringen-Laiz","Baden-W<U+00FC>rttemberg"
"04704",1988-05-01,2020-04-30,507,47.5776,9.7404,"Sigmarszell-Zeisertsweiler","Bayern"
"04709",1979-04-01,2020-06-09,445,49.9996,7.5981,"Simmern-Wahlbach","Rheinland-Pfalz"
"04745",1947-07-21,2020-06-09,75,52.9604,9.793,"Soltau","Niedersachsen"
"04841",1998-10-01,2020-06-09,1,53.6946,8.8735,"Steinau, Kr. Cuxhaven","Niedersachsen"
"04857",1990-11-01,2020-06-09,1,53.5534,9.6097,"Mittelnkirchen-Hohenfelde","Niedersachsen"
"04878",1930-01-01,2020-06-09,504,51.6646,10.8811,"Oberharz am Brocken-Stiege","Sachsen-Anhalt"
"04887",1947-01-01,2020-06-09,734,48.6656,9.8648,"St<U+00F6>tten","Baden-W<U+00FC>rttemberg"
"04911",1951-01-01,2020-06-09,351,48.8275,12.5597,"Straubing","Bayern"
"04919",1977-10-01,2020-06-09,7,54.4965,8.8069,"Strucklahnungsh<U+00F6>rn","Schleswig-Holstein"
"04928",1958-01-01,2020-06-09,314,48.8281,9.2,"Stuttgart (Schnarrenberg)","Baden-W<U+00FC>rttemberg"
"04947",1988-08-17,2020-06-09,129,52.2317,10.92,"S<U+00FC>pplingen","Niedersachsen"
"04997",1994-10-01,2020-06-09,196,50.9771,12.3419,"Starkenberg-Tegkwitz","Th<U+00FC>ringen"
"05014",1952-01-01,2020-06-09,7,53.2758,8.9857,"Worpswede-H<U+00FC>ttenbusch","Niedersachsen"
"05017",1948-01-01,2020-06-09,633,50.4002,11.3889,"Teuschnitz","Bayern"
"05029",1975-06-01,2020-06-09,386,49.4738,7.0386,"Tholey","Saarland"
"05046",1967-01-01,2020-06-09,501,49.8576,12.3542,"Tirschenreuth-Loderm<U+00FC>hl","Bayern"
"05064",2004-12-01,2020-06-09,37,51.2897,6.4437,"T<U+00F6>nisvorst","Nordrhein-Westfalen"
"05100",1937-01-01,2020-06-09,265,49.7479,6.6582,"Trier-Petrisberg","Rheinland-Pfalz"
"05109",2000-07-01,2020-06-09,69,53.5997,13.3039,"Trollenhagen","Mecklenburg-Vorpommern"
"05146",1951-01-01,2020-06-09,50,52.9414,10.5289,"Uelzen","Niedersachsen"
